,order_id,final_status,reassigned,manual_assingment,orphan,cancelled_reassignment,Any_problem
369,82085293,DeliveredStatus,False,False,False,False,False
370,81924690,DeliveredStatus,False,False,False,False,False
371,82085603,DeliveredStatus,False,False,False,False,False
372,82081985,DeliveredStatus,False,False,False,False,False
373,82118348,DeliveredStatus,False,False,False,False,False
374,82086969,DeliveredStatus,False,False,False,False,False
375,81970887,CanceledStatus,,,,,
376,81951704,CanceledStatus,,,,,
377,81962830,CanceledStatus,,,,,
378,82108285,CanceledStatus,,,,,
379,81962361,CanceledStatus,,,,,
380,82102721,CanceledStatus,,,,,
381,81990394,CanceledStatus,,,,,
382,82109837,CanceledStatus,,,,,
383,82135919,DeliveredStatus,False,False,False,False,False
384,82088746,DeliveredStatus,False,False,False,False,False
385,82139716,DeliveredStatus,False,False,False,False,False
386,81968964,DeliveredStatus,False,False,False,False,False
387,82107551,DeliveredStatus,False,False,False,False,False
388,82117784,CanceledStatus,,,,,
389,82070140,DeliveredStatus,False,False,False,False,False
390,82105928,DeliveredStatus,True,False,False,False,True
391,81945749,DeliveredStatus,True,True,False,False,True
392,82107289,DeliveredStatus,False,False,False,False,False
393,81910472,DeliveredStatus,True,False,False,False,True
394,82113676,DeliveredStatus,False,False,False,False,False
395,82117658,DeliveredStatus,False,False,False,False,False
396,82032396,DeliveredStatus,False,False,False,False,False
397,82072837,DeliveredStatus,False,False,False,False,False
398,82112342,DeliveredStatus,False,False,False,False,False
399,82122447,DeliveredStatus,False,False,False,False,False
400,81962562,DeliveredStatus,False,False,False,False,False
401,82139667,DeliveredStatus,False,False,False,False,False
402,81946591,DeliveredStatus,False,False,False,False,False
403,82098673,DeliveredStatus,False,False,False,False,False
404,81975876,DeliveredStatus,False,False,False,False,False
405,82106646,DeliveredStatus,False,False,False,False,False
406,81942808,DeliveredStatus,True,False,False,False,True
407,82121662,DeliveredStatus,True,False,False,False,True
408,82125698,DeliveredStatus,False,False,False,False,False
409,82089393,DeliveredStatus,False,False,False,False,False
